Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Apartment for Sale in Aqua Residences, Andheri West Mumbai",1248 sqft,"₹
5.20 Cr"
"3 BHK Apartment for Sale in Oberoi Exquisite II, Goregaon East Mumbai",1081 sqft,"₹
6.80 Cr"
"2 BHK Apartment for Sale in Sunbeam Heights, Shakti Nagar Adarsh Nagar Mumbai",708 sqft,"₹
2.08 Cr"
"2 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai",690 sqft,"₹
2.10 Cr"
"3 BHK Apartment for Sale in Wadhwa Imperial Heights, Goregaon West Mumbai",1025 sqft,"₹
3.25 Cr"
"3 BHK Apartment for Sale in Runwal Forests, Hanuman Tekdi Kanjurmarg West Mumbai",1129 sqft,"₹
3.80 Cr"
"2 BHK Apartment for Sale in Sumit Artista, Santacruz East Mumbai",865 sqft,"₹
2.10 Cr"
"2 BHK Apartment for Sale in Crest Oaks, Bhavani Nagar Marol Mumbai",730 sqft,"₹
1.85 Cr"
"2 BHK Apartment for Sale in Viceroy SAVANA, Kandivali East Mumbai",764 sqft,"₹
3.15 Cr"
"3 BHK Apartment for Sale in Ruparel Ariana, Parel Mumbai",1227 sqft,"₹
4.35 Cr"
"2 BHK Apartment for Sale in Gundecha Trillium, Thakur Village, Kandivali East Mumbai",844 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in Hiranandani Gardens Florentine, Hiranandani Gardens Mumbai",835 sqft,"₹
3.36 Cr"
2 BHK Apartment for Sale in Anand Nagar Santacruz East Mumbai,900 sqft,"₹
2 Cr"
"2 BHK Apartment for Sale in The Prestige City, Mulund West Mumbai",900 sqft,"₹
1.90 Cr"
"3 BHK Apartment for Sale in Lodha Woods, Kandivali East Mumbai",1142 sqft,"₹
3.22 Cr"
3 BHK Apartment for Sale in Prabhadevi Mumbai,1650 sqft,"₹
8.75 Cr"
"3 BHK Apartment for Sale in Lodha Primo, Parel Mumbai",1050 sqft,"₹
5.75 Cr"
"2 BHK Apartment for Sale in Shashwat Residency, Borivali East Mumbai",730 sqft,"₹
1.93 Cr"
"2 BHK Apartment for Sale in Arkade Nest, Mulund West Mumbai",570 sqft,"₹
1.49 Cr"
"2 BHK Apartment for Sale in West View CHS, Sector 2 Charkop Mumbai",657 sqft,"₹
1.20 Cr"
"3 BHK Apartment for Sale in Mahavir Neelamber, Mathuradas Road Mumbai",1056 sqft,"₹
3.85 Cr"
"2 BHK Apartment for Sale in Satellite Elegance, Goregaon East Mumbai",635 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Shree Shashwat, Pleasant Park Mumbai",620 sqft,"₹
99 Lac"
"2 BHK Apartment for Sale in Thakur Village, Kandivali East Mumbai",653 sqft,"₹
1.73 Cr"
"3 BHK Apartment for Sale in Nicco Residency, Poonam Nagar Jogeshwari East Mumbai",1129 sqft,"₹
2.90 Cr"
"2 BHK Apartment for Sale in Raj Heritage 2, Queens Park Mumbai",599 sqft,"₹
1.25 Cr"
"2 BHK Apartment for Sale in City Of Joy, Mulund West Mumbai",740 sqft,"₹
2.10 Cr"
"3 BHK Apartment for Sale in Lodha Acenza, Andheri East Mumbai",1503 sqft,"₹
6.51 Cr"
"2 BHK Apartment for Sale in Silver Serene, Siddharth Nagar Goregaon West Mumbai",665 sqft,"₹
1.80 Cr"
2 BHK Apartment for Sale in Chembur Mumbai,840 sqft,"₹
3.25 Cr"
"3 BHK Apartment for Sale in Gagansagar, Eksar Mumbai",857 sqft,"₹
2.36 Cr"
"2 BHK Apartment for Sale in Rockline The Meridian Towers, Ghatkopar West Mumbai",591 sqft,"₹
1.38 Cr"
"3 BHK Apartment for Sale in Tricity Natraj, Chembur Mumbai",1108 sqft,"₹
3.89 Cr"
"2 BHK Apartment for Sale in Sparsh, Andheri East Mumbai",831 sqft,"₹
2.80 Cr"
3 BHK Apartment for Sale in Worli Mumbai,975 sqft,"₹
5.85 Cr"
"2 BHK Apartment for Sale in Cllaro Urban Grandeur, Mira Road East Mumbai",1170 sqft,"₹
1.83 Cr"
"2 BHK Apartment for Sale in Kamla Borivali Lucky, Devki Nagar Mumbai",674 sqft,"₹
1.85 Cr"
"3 BHK Apartment for Sale in MICL Aaradhya Avaan, Tardeo Mumbai",2145 sqft,"₹
7.15 Cr"
3 BHK Apartment for Sale in Chembur Mumbai,1131 sqft,"₹
4.49 Cr"
3 BHK Apartment for Sale in Borivali West Mumbai,1375 sqft,"₹
4.36 Cr"
2 BHK Apartment for Sale in Beverly Park Mumbai,620 sqft,"₹
1.12 Cr"
3 BHK Apartment for Sale in Mahim West Mumbai,1140 sqft,"₹
5.24 Cr"
"2 BHK Apartment for Sale in Umiya Oasis, Mira Road Area Mumbai",695 sqft,"₹
87 Lac"
"2 BHK Apartment for Sale in Lodha Codename Evergreen, Vikhroli West Mumbai",540 sqft,"₹
1.75 Cr"
2 BHK Apartment for Sale in Dadar Parsi Colony Mumbai,700 sqft,"₹
3 Cr"
"2 BHK Apartment for Sale in The Prestige City, Yogi Hills Mumbai",830 sqft,"₹
2.85 Cr"
"3 BHK Apartment for Sale in Ruparel Stardom, Evershine Nagar Mumbai",1260 sqft,"₹
3.65 Cr"
3 BHK Apartment for Sale in Byculla Mumbai,1503 sqft,"₹
8.29 Cr"
"2 BHK Apartment for Sale in Runwal Bliss, Kanjurmarg East Mumbai",489 sqft,"₹
1.44 Cr"
"3 BHK Apartment for Sale in Fortune Florence, Borivali East Mumbai",1101 sqft,"₹
2.53 Cr"
"2 BHK Apartment for Sale in Sahar Plaza Bonanza, Andheri East Mumbai",632 sqft,"₹
1.70 Cr"
3 BHK Apartment for Sale in Gulmohar Colony Mumbai,1500 sqft,"₹
8.50 Cr"
"3 BHK Apartment for Sale in Narang Vivenda, Evershine Nagar Mumbai",1401 sqft,"₹
4 Cr"
"2 BHK Apartment for Sale in Kalpataru Advay, RDP 8 Mumbai",781 sqft,"₹
2.64 Cr"
"2 BHK Apartment for Sale in Ruparel Vivanza, Byculla Mumbai",635 sqft,"₹
2.39 Cr"
"2 BHK Apartment for Sale in Guinea Shubhaarambh, Mulund West Mumbai",710 sqft,"₹
1.79 Cr"
"3 BHK Apartment for Sale in Ruparel Panache, Santacruz West Mumbai",1185 sqft,"₹
5.99 Cr"
"2 BHK Apartment for Sale in Hum Durga, Dahisar East Mumbai",564 sqft,"₹
1.31 Cr"
"2 BHK Apartment for Sale in Sheetal Kiara, Goregaon West Mumbai",666 sqft,"₹
1.53 Cr"
"3 BHK Apartment for Sale in Raheja Imperia I, Worli Mumbai",1268 sqft,"₹
9 Cr"
"3 BHK Apartment for Sale in Sheetal Infinity, Gokuldham Colony Goregaon East Mumbai",836 sqft,"₹
2.03 Cr"
"2 BHK Apartment for Sale in R Stone Rudra Paradise, Santacruz East Mumbai",632 sqft,"₹
2.67 Cr"
"2 BHK Apartment for Sale in Purva Clermont, Chembur Mumbai",533 sqft,"₹
2.20 Cr"
"2 BHK Apartment for Sale in Shubh Seven Square Avenue, Silver Park Mumbai",712 sqft,"₹
1.09 Cr"
3 BHK Apartment for Sale in Azad Nagar Andheri West Mumbai,1013 sqft,"₹
3.39 Cr"
"3 BHK Apartment for Sale in Shreeji Sharan, Kandivali West Mumbai",894 sqft,"₹
2.48 Cr"
"3 BHK Apartment for Sale in Park Royale, Andheri East Mumbai",1063 sqft,"₹
2.76 Cr"
"2 BHK Apartment for Sale in Hiranandani Highland, Powai Mumbai",590 sqft,"₹
2.35 Cr"
2 BHK Apartment for Sale in Mulund East Mumbai,679 sqft,"₹
1.39 Cr"
"3 BHK Apartment for Sale in L & T Centrona, Ghatkopar East Mumbai",1050 sqft,"₹
2.75 Cr"
"2 BHK Apartment for Sale in Ajmera Manhattan, Wadala Mumbai",750 sqft,"₹
2.46 Cr"
2 BHK Apartment for Sale in Khar West Mumbai,750 sqft,"₹
4.75 Cr"
"3 BHK Apartment for Sale in Sheth Irene, Malad West Mumbai",1119 sqft,"₹
2.72 Cr"
2 BHK Apartment for Sale in Ghatkopar East Mumbai,637 sqft,"₹
1.89 Cr"
"2 BHK Apartment for Sale in Narang Vivenda, Malad West Mumbai",750 sqft,"₹
2.35 Cr"
3 BHK Apartment for Sale in Mulund Mumbai,1022 sqft,"₹
2.71 Cr"
"2 BHK Apartment for Sale in Sapphire Dotom Isle, Jankalyan Nagar Mumbai",572 sqft,"₹
1.37 Cr"
"3 BHK Apartment for Sale in Kalpataru Amare, Juhu Mumbai",1405 sqft,"₹
8.55 Cr"
"2 BHK Apartment for Sale in Veena Smart Homes, Charkop Gaon Mumbai",590 sqft,"₹
1.40 Cr"
"3 BHK Apartment for Sale in Neelam Senroofs, Nahur East Mumbai",1252 sqft,"₹
3.25 Cr"
"2 BHK Apartment for Sale in Dynamix Divum, Malad East Mumbai",757 sqft,"₹
2.30 Cr"
"3 BHK Builder Floor for Sale in Pearl Residency, Andheri West Mumbai",850 sqft,"₹
3 Cr"
"2 BHK Apartment for Sale in Empire Meghna, Borivali West Mumbai",630 sqft,"₹
1.87 Cr"
"2 BHK Apartment for Sale in Supreme Boulevard, Chembur East Mumbai",758 sqft,"₹
2.34 Cr"
3 BHK Apartment for Sale in Swami Samarth Nagar Mumbai,1283 sqft,"₹
5.50 Cr"
"2 BHK Apartment for Sale in JP Infra Mira Road, Vinay Nagar Mumbai",610 sqft,"₹
1.17 Cr"
"2 BHK Apartment for Sale in Crescent Silverwoods, Chandivali Mumbai",644 sqft,"₹
1.72 Cr"
"2 BHK Apartment for Sale in Matrubhumi The Grand Residences, Magathane Mumbai",915 sqft,"₹
2.31 Cr"
"3 BHK Apartment for Sale in Rodium Xone, Kandivali West Mumbai",989 sqft,"₹
3.21 Cr"
"2 BHK Apartment for Sale in One Meraki, Chembur Mumbai",772 sqft,"₹
3 Cr"
"3 BHK Apartment for Sale in Nahar Amrit Shakti, Chandivali Mumbai",900 sqft,"₹
3.35 Cr"
"2 BHK Apartment for Sale in Metro Millennium, Malad West Mumbai",733 sqft,"₹
2.43 Cr"
"3 BHK Apartment for Sale in The Wadhwa Atmosphere O2, Mulund West Mumbai",792 sqft,"₹
2.20 Cr"
"2 BHK Apartment for Sale in Sainath Vrindavan, Mulund East Mumbai",674 sqft,"₹
1.66 Cr"
"3 BHK Apartment for Sale in Oberoi Splendor, Andheri East Mumbai",1250 sqft,"₹
4.45 Cr"
"3 BHK Apartment for Sale in Raheja Amaltis, Sion Mumbai",1346 sqft,"₹
5.17 Cr"
3 BHK Apartment for Sale in Mahalakshmi Mumbai,1206 sqft,"₹
6.02 Cr"
"2 BHK Apartment for Sale in Bhoomi Simana, Parel Mumbai",826 sqft,"₹
4.21 Cr"
"3 BHK Apartment for Sale in Island Cove, Mahim Mumbai",1041 sqft,"₹
4.29 Cr"
"2 BHK Apartment for Sale in Bachraj Legend Wing ABC, Y K Nagar Mumbai",626 sqft,"₹
69 Lac"
3 BHK Apartment for Sale in Deonar Chembur Mumbai,1000 sqft,"₹
4.05 Cr"
"2 BHK Apartment for Sale in MK Gracia, Andheri Mumbai",678 sqft,"₹
2.10 Cr"
"2 BHK Apartment for Sale in DEM Phoenix, Malad East Mumbai",520 sqft,"₹
1.30 Cr"
2 BHK Apartment for Sale in Borivali East Mumbai,661 sqft,"₹
2.29 Cr"
"2 BHK Apartment for Sale in Jaydeep Mark, Mulund East Mumbai",720 sqft,"₹
1.80 Cr"
3 BHK Apartment for Sale in Akurli Nagar Mumbai,815 sqft,"₹
2.20 Cr"
"3 BHK Apartment for Sale in Godrej Urban Park, Sangharsh Nagar Mumbai",996 sqft,"₹
2.75 Cr"
"3 BHK Apartment for Sale in Sheth One Marina, Marine Lines Mumbai",1387 sqft,"₹
8.74 Cr"
"2 BHK Apartment for Sale in Raj Heritage 2, Mira Road East Mumbai",688 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in Ashok tower, Parel Mumbai",954 sqft,"₹
6.90 Cr"
"3 BHK Apartment for Sale in Lodha Enchante, Wadala Mumbai",1287 sqft,"₹
5.10 Cr"
"2 BHK Apartment for Sale in DLH Leo, Andheri West Mumbai",660 sqft,"₹
2.21 Cr"
2 BHK Apartment for Sale in Mahim Mumbai,734 sqft,"₹
3.20 Cr"
3 BHK Villa for Sale in Sahar Village Mumbai,1400 sqft,"₹
2 Cr"
"2 BHK Apartment for Sale in Hiranandani Highland, Hiranandani Gardens Mumbai",565 sqft,"₹
2.45 Cr"
"2 BHK Apartment for Sale in Sethia Pride, Kandivali East Mumbai",520 sqft,"₹
1.37 Cr"
"3 BHK Apartment for Sale in Siddhivinayak, Pali Hill Mumbai",1600 sqft,"₹
10 Cr"
3 BHK Penthouse for Sale in Sector 5 Charkop Mumbai,1015 sqft,"₹
2.30 Cr"
"2 BHK Apartment for Sale in Adani The Views, Ghatkopar East Mumbai",634 sqft,"₹
1.83 Cr"
"2 BHK Apartment for Sale in Sunteck Naigaon, Naigaon East Mumbai",550 sqft,"₹
54 Lac"
"3 BHK Apartment for Sale in Lodha Gardenia, Wadala East Mumbai",1322 sqft,"₹
5.60 Cr"
"2 BHK Apartment for Sale in Sundew Swastik Park, Bhandup West Mumbai",650 sqft,"₹
1.41 Cr"
3 BHK Apartment for Sale in Ashok Nagar Mulund West Mumbai,1022 sqft,"₹
2.86 Cr"
"3 BHK Apartment for Sale in Bhoomi Valley, Thakur Village, Kandivali East Mumbai",900 sqft,"₹
2 Cr"
"2 BHK Apartment for Sale in Metro Paradise, Mulund West Mumbai",650 sqft,"₹
1.56 Cr"
"3 BHK Apartment for Sale in Rajyog Chsl, Goregaon East Mumbai",749 sqft,"₹
2.75 Cr"
2 BHK Apartment for Sale in Kurla East Mumbai,600 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in Bachraj Legend Wing D, Virar West Mumbai",580 sqft,"₹
55 Lac"
"2 BHK Apartment for Sale in Marina Enclave, Jankalyan Nagar Mumbai",634 sqft,"₹
1.51 Cr"
"2 BHK Apartment for Sale in Kaul Heritage City, Vasai West Mumbai",820 sqft,"₹
85 Lac"
"3 BHK Apartment for Sale in Mehta Techno Kalpana, Matunga Mumbai",1035 sqft,"₹
4.99 Cr"
"2 BHK Apartment for Sale in Mehta Gokul Madhav, Virar Mumbai",571 sqft,"₹
55 Lac"
3 BHK Apartment for Sale in Chincholi Bunder Mumbai,852 sqft,"₹
2.90 Cr"
"2 BHK Apartment for Sale in Dynamix Avanya , Dahisar East Mumbai",515 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in Sameer Apartment, Versova Andheri West Mumbai",675 sqft,"₹
2.10 Cr"
"3 BHK Apartment for Sale in Royal Palms Ruby Isle Apartment, Aarey Colony Mumbai",769 sqft,"₹
1.15 Cr"
"2 BHK Apartment for Sale in Crystal Heights, Jogeshwari West Mumbai",750 sqft,"₹
3 Cr"
2 BHK Apartment for Sale in Santacruz West Mumbai,715 sqft,"₹
3.35 Cr"
3 BHK Apartment for Sale in Andheri West Mumbai,1250 sqft,"₹
3.45 Cr"
"3 BHK Apartment for Sale in Kabra Natraj CHS, Borivali West Mumbai",1400 sqft,"₹
4 Cr"
"2 BHK Apartment for Sale in Powerhouse Sri Balaji Enclave, Malad West Mumbai",570 sqft,"₹
1.65 Cr"
"2 BHK Apartment for Sale in Raghav Paradise, Borivali West Mumbai",559 sqft,"₹
1.57 Cr"
"2 BHK Apartment for Sale in Sunbeam Heights, Adarsh Nagar Jogeshwari West Mumbai",709 sqft,"₹
1.99 Cr"
"2 BHK Apartment for Sale in Wadhwa Dukes Horizon, Chembur Mumbai",536 sqft,"₹
1.84 Cr"
"2 BHK Apartment for Sale in Nettheim Chirag Heights, Dadar Parsi Colony Mumbai",770 sqft,"₹
5.64 Cr"
"3 BHK Apartment for Sale in Jade Gardens, Bandra Terminus Mumbai",1020 sqft,"₹
6.25 Cr"
"3 BHK Apartment for Sale in L&T Emerald Isle Phase 2, Powai Mumbai",990 sqft,"₹
3.60 Cr"
"3 BHK Apartment for Sale in Ekta Tripolis, Siddharth Nagar Goregaon West Mumbai",1100 sqft,"₹
4.15 Cr"
"3 BHK Apartment for Sale in Transcon Auris Serenity, Kanchpada Mumbai",1233 sqft,"₹
5.25 Cr"
"3 BHK Apartment for Sale in Piramal Aranya , Byculla East Mumbai",1970 sqft,"₹
12 Cr"
"2 BHK Apartment for Sale in Kalpataru Elitus, Mulund West Mumbai",472 sqft,"₹
99 Lac"
"2 BHK Apartment for Sale in Varun Amin Villa CHS, Santacruz Mumbai",905 sqft,"₹
3.60 Cr"
"3 BHK Apartment for Sale in The Imperial, Tardeo Mumbai",1800 sqft,"₹
13.50 Cr"
"3 BHK Apartment for Sale in Ivy Tower, Film City Road Mumbai",1200 sqft,"₹
4.25 Cr"
"2 BHK Apartment for Sale in Ajmera Greenfinity, Wadala East Mumbai",535 sqft,"₹
1.50 Cr"
2 BHK Apartment for Sale in Kannamwar Nagar 1 Mumbai,600 sqft,"₹
1.40 Cr"
"2 BHK Apartment for Sale in Piramal Aranya , Byculla East Mumbai",757 sqft,"₹
3.99 Cr"
"3 BHK Apartment for Sale in Atmiya Centria, Santacruz East Mumbai",778 sqft,"₹
2.48 Cr"
"2 BHK Apartment for Sale in Aleen Heights, Nalasopara West Mumbai",531 sqft,"₹
39.6 Lac"
2 BHK House for Sale in Mira Road East Mumbai,585 sqft,"₹
71 Lac"
2 BHK Apartment for Sale in Kandivali West Mumbai,516 sqft,"₹
1.49 Cr"
"2 BHK Apartment for Sale in Elegant Navratnamala CHS, Santacruz East Mumbai",630 sqft,"₹
2.20 Cr"
"3 BHK Apartment for Sale in Lodha Aurum Grande, Kanjurmarg East Mumbai",1129 sqft,"₹
3.52 Cr"
3 BHK Apartment for Sale in Bhayandar West Mumbai,950 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in Platinum Prive, Andheri West Mumbai",590 sqft,"₹
2.65 Cr"
"2 BHK Apartment for Sale in Ajmera Treon, Wadala Mumbai",994 sqft,"₹
3.30 Cr"
"3 BHK Apartment for Sale in Lodha Kiara, Worli Naka Mumbai",1197 sqft,"₹
7.80 Cr"
"2 BHK Apartment for Sale in Ambaji Apartment, Mulund West Mumbai",671 sqft,"₹
1.92 Cr"
"2 BHK Apartment for Sale in Valentine Apartments, Goregaon East Mumbai",750 sqft,"₹
1.65 Cr"
3 BHK Apartment for Sale in Mulund West Mumbai,1303 sqft,"₹
4.50 Cr"
"2 BHK Apartment for Sale in Ozone Residency, Dahisar West Mumbai",609 sqft,"₹
1.45 Cr"
"2 BHK Apartment for Sale in Right Channel Delta House, Laxmi Nagar Goregaon West Mumbai",572 sqft,"₹
1.27 Cr"
"2 BHK Apartment for Sale in Shapoorji Pallonji Aubburn, Kandivali East Mumbai",600 sqft,"₹
1.61 Cr"
"3 BHK Apartment for Sale in Challenger Tower, Kandivali East Mumbai",1325 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in Raheja Interface Heights, Malad West Mumbai",700 sqft,"₹
2.40 Cr"
"2 BHK Apartment for Sale in Piramal Revanta, Mulund Mumbai",787 sqft,"₹
2.20 Cr"
"2 BHK Apartment for Sale in Raheja Heights Phase 2, Goregaon East Mumbai",830 sqft,"₹
2.50 Cr"
2 BHK Apartment for Sale in Dahisar West Mumbai,700 sqft,"₹
1.75 Cr"
"3 BHK Apartment for Sale in JE & VEE Om Trimurti, MHB Colony Dindoshi Mumbai",1365 sqft,"₹
2.90 Cr"
"3 BHK Apartment for Sale in Promesa Fremont, Chinchpokli Mumbai",1044 sqft,"₹
4.09 Cr"
"2 BHK Apartment for Sale in Raj Rudraksha, Vaishali Nagar Dahisar Mumbai",623 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in Siddha Sky, Wadala East Mumbai",644 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in Arkade Eden, Sunder Nagar Malad West Mumbai",1023 sqft,"₹
3.27 Cr"
"2 BHK Apartment for Sale in J24 Mahavir Nagar CHS Ltd, Kandivali West Mumbai",632 sqft,"₹
2.12 Cr"
"2 BHK Apartment for Sale in Mahindra Vista, Lokhandwala Township Kandivali East Mumbai",813 sqft,"₹
2.11 Cr"
"2 BHK Apartment for Sale in Silver Anklet Apartment, Yari Road Mumbai",700 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in The Palace Tower, Mira Road East Mumbai",675 sqft,"₹
96.8 Lac"
"2 BHK Apartment for Sale in Unique Sky City, Virar West Mumbai",544 sqft,"₹
60 Lac"
3 BHK Apartment for Sale in Grant Road East Mumbai,927 sqft,"₹
4.39 Cr"
"2 BHK Apartment for Sale in Ashwini Lijjat Jamuna Chs, Sane Guruji Nagar Mulund East Mumbai",500 sqft,"₹
1.53 Cr"
2 BHK Villa for Sale in Madh Mumbai,800 sqft,"₹
3.50 Cr"
"3 BHK Apartment for Sale in Wadhwa Dukes Horizon, Chembur East Mumbai",850 sqft,"₹
3.35 Cr"
"2 BHK Apartment for Sale in Satguru Shristi Apartment, Khar West Mumbai",750 sqft,"₹
5.35 Cr"
"3 BHK Apartment for Sale in Imperial Heights Phase 2, Goregaon West Mumbai",1450 sqft,"₹
4.90 Cr"
"2 BHK Apartment for Sale in Wadhwa The Address, Ghatkopar West Mumbai",649 sqft,"₹
1.90 Cr"
"2 BHK Apartment for Sale in Keshav Srishti, Bhandup West Mumbai",815 sqft,"₹
1.45 Cr"
"2 BHK Apartment for Sale in Vaibhavlaxmi Eastsyde, Ghatkopar East Mumbai",541 sqft,"₹
1.40 Cr"
"3 BHK Apartment for Sale in Godrej Central, Chembur Mumbai",1205 sqft,"₹
3.35 Cr"
2 BHK Apartment for Sale in Dr Baba Saheb Ambedkar Road Mumbai,954 sqft,"₹
8 Cr"
"2 BHK Apartment for Sale in Rustomjee Meridian, Kandivali West Mumbai",645 sqft,"₹
1.65 Cr"
"2 BHK Apartment for Sale in Samar Heights, Antop Hill Mumbai",750 sqft,"₹
2.90 Cr"
2 BHK Apartment for Sale in Dahisar East Mumbai,560 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in Yash Signature, Deonar Chembur Mumbai",1076 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in MICL Aaradhya Eastwind, Vikhroli East Mumbai",644 sqft,"₹
2.10 Cr"
2 BHK Apartment for Sale in Vakola Mumbai,812 sqft,"₹
2.46 Cr"
"2 BHK Apartment for Sale in Shivam Shankaram Residency, Chembur Mumbai",705 sqft,"₹
1.70 Cr"
"3 BHK Apartment for Sale in Dreams Complex, Bhandup West Mumbai",1215 sqft,"₹
3 Cr"
"2 BHK Apartment for Sale in Samarth Srishti, Bhandup West Mumbai",620 sqft,"₹
1.60 Cr"
"2 BHK Apartment for Sale in Nalanda Usha CHS Malad West, Evershine Nagar Mumbai",650 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Beautiful NL Krishna, Rawalpada Mumbai",535 sqft,"₹
1.40 Cr"
"2 BHK Apartment for Sale in Ekta Lake Riviera, Powai Mumbai",705 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in Prithvi Pride, Mira Road Area Mumbai",501 sqft,"₹
95 Lac"
"2 BHK Apartment for Sale in JP North Elara, Mira Road Area Mumbai",699 sqft,"₹
1.20 Cr"
"3 BHK Apartment for Sale in Sukhdayak Society, JB Nagar Mumbai",1000 sqft,"₹
3.29 Cr"
"2 BHK Apartment for Sale in Rustomjee Elanza, Mindspace Mumbai",738 sqft,"₹
2.80 Cr"
"2 BHK Apartment for Sale in Parkside III Borivali East, Borivali East Mumbai",640 sqft,"₹
2.10 Cr"
"2 BHK Apartment for Sale in Blossom CHSL, Marol Mumbai",884 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in Raj Infinia, Evershine Nagar Mumbai",757 sqft,"₹
2.50 Cr"
"3 BHK Apartment for Sale in Riddhi Apartment, Matunga Mumbai",1300 sqft,"₹
6.98 Cr"
"3 BHK Apartment for Sale in Raj Infinia, Malad West Mumbai",900 sqft,"₹
3.50 Cr"
"3 BHK Apartment for Sale in Garden Grove Phase 2, Borivali West Mumbai",1200 sqft,"₹
4.41 Cr"
"3 BHK Apartment for Sale in Island City Center One ICC, Naigaon Dadar East Mumbai",1943 sqft,"₹
10 Cr"
"2 BHK Apartment for Sale in DGS Sheetal Usha, Jankalyan Nagar Mumbai",630 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in Crystal Armus, Vaibhav Nagar Mumbai",600 sqft,"₹
1.65 Cr"
"2 BHK Apartment for Sale in Rahul Apartment, Vile Parle Mumbai",715 sqft,"₹
2.45 Cr"
"3 BHK Apartment for Sale in Dynamic Panchsheel Heights, Kandivali West Mumbai",1300 sqft,"₹
4 Cr"
3 BHK Apartment for Sale in Chembur Colony Mumbai,1323 sqft,"₹
5.22 Cr"
2 BHK Apartment for Sale in Dadar West Mumbai,860 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Aaradhya One, Chembur Mumbai",1098 sqft,"₹
3.81 Cr"
"3 BHK Apartment for Sale in DLH The Park Residences, Andheri West Mumbai",1060 sqft,"₹
5.50 Cr"
3 BHK Apartment for Sale in Virar West Mumbai,1000 sqft,"₹
91 Lac"
2 BHK Apartment for Sale in Parel Mumbai,1440 sqft,"₹
6.80 Cr"
2 BHK Apartment for Sale in Deonar Chembur Mumbai,730 sqft,"₹
1.85 Cr"
"2 BHK Apartment for Sale in Mantri Serene, Goregaon East Mumbai",674 sqft,"₹
1.30 Cr"
3 BHK Apartment for Sale in Dadar East Mumbai,856 sqft,"₹
3.99 Cr"
"2 BHK Apartment for Sale in RNA NG Eclat, Andheri West Mumbai",802 sqft,"₹
3.50 Cr"
"2 BHK Apartment for Sale in ARKADE Aspire, Goregaon Mumbai",602 sqft,"₹
2.30 Cr"
"2 BHK Apartment for Sale in Mahavir Universe, Bhandup West Mumbai",702 sqft,"₹
2.10 Cr"
2 BHK Apartment for Sale in Vasai East Mumbai,690 sqft,"₹
75 Lac"
2 BHK Apartment for Sale in Marol Mumbai,581 sqft,"₹
1.59 Cr"
"2 BHK Apartment for Sale in Lodha New Cuffe Parade, Wadala Mumbai",955 sqft,"₹
3.12 Cr"
"2 BHK Apartment for Sale in Hdil Galaxy Apartment, Takshashila Nagar Mumbai",650 sqft,"₹
1.35 Cr"
2 BHK Apartment for Sale in Dahisar Mumbai,537 sqft,"₹
1.40 Cr"
3 BHK Apartment for Sale in Vasai West Mumbai,756 sqft,"₹
77 Lac"
"3 BHK Apartment for Sale in Omkar Bellezza, Dadar West Mumbai",1600 sqft,"₹
6.75 Cr"
3 BHK Apartment for Sale in Dr Baba Saheb Ambedkar Road Mumbai,1164 sqft,"₹
7.86 Cr"
"3 BHK Apartment for Sale in Manas Moti Apartment, Devidas Road Mumbai",1200 sqft,"₹
4.10 Cr"
"2 BHK Apartment for Sale in Wadhwa Pristine, Matunga West Mumbai",761 sqft,"₹
4.60 Cr"
"3 BHK Apartment for Sale in North Bombay, Juhu Mumbai",1200 sqft,"₹
5 Cr"
2 BHK Apartment for Sale in Vile Parle East Mumbai,756 sqft,"₹
2.85 Cr"
"2 BHK Apartment for Sale in Mahalaxmi, Juhu Mumbai",665 sqft,"₹
2.65 Cr"
"3 BHK Apartment for Sale in Raheja Ascencio, Raheja Vihar Mumbai",1280 sqft,"₹
4.80 Cr"
3 BHK Villa for Sale in Virar East Mumbai,1873 sqft,"₹
3.75 Cr"
3 BHK House for Sale in Sector 8 Charkop Mumbai,800 sqft,"₹
1.05 Cr"
"3 BHK Apartment for Sale in Garden Court, Dadar East Mumbai",1080 sqft,"₹
4.95 Cr"
"2 BHK Apartment for Sale in Godrej Prime, Chembur Mumbai",753 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in Juhu Natraj, Juhu Mumbai",640 sqft,"₹
3.80 Cr"
