Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Apartment for Sale in MICL Aaradhya High Park, Mira Road East Mumbai",761 sqft,"₹
1 Cr"
3 BHK Apartment for Sale in Andheri East Mumbai,1000 sqft,"₹
2.35 Cr"
"2 BHK Apartment for Sale in Nahar Amrit Shakti Rosa Alba, Powai Mumbai",819 sqft,"₹
2.45 Cr"
2 BHK Apartment for Sale in Mulund Mumbai,620 sqft,"₹
1.50 Cr"
"2 BHK Apartment for Sale in Kailash Tower, Kandivali West Mumbai",850 sqft,"₹
2.63 Cr"
"3 BHK Apartment for Sale in TW Gardens, Kandivali East Mumbai",1132 sqft,"₹
4.35 Cr"
"3 BHK Apartment for Sale in Advent Neel, JVPD Scheme Mumbai",1275 sqft,"₹
7 Cr"
"2 BHK Apartment for Sale in Divij Viki Heights, Ghatkopar East Mumbai",754 sqft,"₹
2.95 Cr"
"2 BHK Apartment for Sale in Kalpataru Crest, Bhandup West Mumbai",775 sqft,"₹
1.99 Cr"
"3 BHK Apartment for Sale in Wadhwa The Address Boulevard, Ghatkopar West Mumbai",1046 sqft,"₹
4.15 Cr"
"3 BHK Apartment for Sale in Kalpataru Radiance, Goregaon West Mumbai",1050 sqft,"₹
3.70 Cr"
"3 BHK Apartment for Sale in Raheja Vista, Powai Mumbai",1200 sqft,"₹
3.65 Cr"
"3 BHK Apartment for Sale in Whispering Palm, Kandivali East Mumbai",1100 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in El Signora, Andheri West Mumbai",573 sqft,"₹
1.65 Cr"
"3 BHK Apartment for Sale in L&T Emerald Isle, Powai Mumbai",1165 sqft,"₹
4.40 Cr"
"3 BHK Apartment for Sale in Kohinoor City Phase II, Kurla West Mumbai",1100 sqft,"₹
2.85 Cr"
"3 BHK Apartment for Sale in Astron, Kandivali East Mumbai",1071 sqft,"₹
3.25 Cr"
"2 BHK Apartment for Sale in Raheja Vista, Powai Mumbai",675 sqft,"₹
2.20 Cr"
3 BHK Apartment for Sale in Borivali East Mumbai,1001 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in Salasar Exotica, Mira Road East Mumbai",700 sqft,"₹
91.4 Lac"
"3 BHK Apartment for Sale in Ashok Garden, Parel Mumbai",1233 sqft,"₹
5.32 Cr"
"2 BHK Apartment for Sale in Laxmina Krishna Niwas, Chembur West Mumbai",680 sqft,"₹
2.24 Cr"
"2 BHK Apartment for Sale in Transcon Auris Serenity, Link Road Mumbai",805 sqft,"₹
2.45 Cr"
"2 BHK Apartment for Sale in L&T Emerald Isle Phase 2, Powai Mumbai",800 sqft,"₹
3.05 Cr"
"3 BHK Apartment for Sale in Kalpataru Estate, Jogeshwari Vikhroli Link Road Mumbai",854 sqft,"₹
3.30 Cr"
2 BHK Apartment for Sale in DN Nagar Mumbai,665 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in Agastya Signature, Vikhroli East Mumbai",614 sqft,"₹
1.17 Cr"
"3 BHK Apartment for Sale in Godrej Reserve, Akurli Nagar Mumbai",1500 sqft,"₹
5.70 Cr"
"2 BHK Apartment for Sale in Fortune Florence, Siddharth Nagar Borivali East Mumbai",883 sqft,"₹
2.56 Cr"
"3 BHK Apartment for Sale in Rose Minar CHS, Bandra West Mumbai",900 sqft,"₹
4.50 Cr"
"3 BHK Apartment for Sale in TW Gardens, Thakur Village, Kandivali East Mumbai",785 sqft,"₹
2.55 Cr"
